ctyua19nm,lat,long,Long_term_ill,Age_65_to_84,Crowded_housing,Unemployed,No_qualifications
Hartlepool,54.669448749582415,-1.259361010607027,21315.0,13742.0,380.0,5194.0,22758.0
Middlesbrough,54.542007725519326,-1.2222687179451883,28878.0,18226.0,982.0,7631.0,33002.0
Redcar and Cleveland,54.55167807834993,-1.0207155913790993,30717.0,23139.0,463.0,6533.0,31550.0
Stockton-on-Tees,54.56162092640412,-1.3322790324141427,36408.0,26470.0,740.0,8075.0,36728.0
Darlington,54.54870520055155,-1.5526408314590956,20723.0,15889.0,398.0,4002.0,21179.0
Halton,53.345132024042265,-2.7121961820228195,26865.0,16502.0,523.0,5151.0,27126.0
Warrington,53.399108230941586,-2.5627418084651485,34997.0,28492.0,727.0,5961.0,33815.0
Blackburn with Darwen,53.69263819102741,-2.467584777816118,29841.0,16716.0,1503.0,5575.0,32485.0
Blackpool,53.81783133160939,-3.0292513574690605,36331.0,23501.0,603.0,6337.0,36559.0
"Kingston upon Hull, City of",53.76406914186737,-0.33484178111250057,50391.0,31089.0,1837.0,15296.0,65851.0
East Riding of Yorkshire,53.87461690267138,-0.4923695627602537,63965.0,62436.0,877.0,8795.0,65035.0
North East Lincolnshire,53.54262221158171,-0.13796148830378444,31120.0,24546.0,598.0,7486.0,38209.0
North Lincolnshire,53.590817328588436,-0.5936701848046124,32279.0,26275.0,716.0,5869.0,35633.0
York,53.95876671843384,-1.0614491496268192,30375.0,28558.0,851.0,4582.0,29863.0
Derby,52.91254047537211,-1.468346412960369,46456.0,32424.0,2082.0,9297.0,47731.0
Leicester,52.637922922829354,-1.1284850962990913,57137.0,31824.0,5980.0,14982.0,74409.0
Rutland,52.660753256284885,-0.6546334278571395,5788.0,6748.0,72.0,643.0,5453.0
Nottingham,52.96060197543472,-1.176516404725424,55382.0,30397.0,3221.0,14775.0,63991.0
"Herefordshire, County of",52.10367402016764,-2.7451131740998282,34364.0,33692.0,851.0,4353.0,34845.0
Telford and Wrekin,52.73020794735582,-2.488780590167363,30995.0,21409.0,916.0,5806.0,32612.0
Stoke-on-Trent,53.01804733081002,-2.1645360100148,56501.0,34103.0,1864.0,9715.0,67773.0
Bath and North East Somerset,51.35597024224452,-2.4752072352803767,28295.0,26909.0,691.0,3548.0,25140.0
"Bristol, City of",51.46683516746428,-2.6005111331381054,71724.0,46960.0,4124.0,13817.0,70478.0
North Somerset,51.38980387987998,-2.794115415793443,38740.0,36114.0,566.0,4350.0,32539.0
South Gloucestershire,51.54192880793031,-2.4575085388205657,40914.0,38875.0,916.0,5354.0,39618.0
Plymouth,50.3919835985987,-4.118222188220432,52192.0,36097.0,1549.0,8136.0,47073.0
Torbay,50.441772597055184,-3.5541945581092955,31451.0,25783.0,582.0,4275.0,28215.0
Swindon,51.57155047704233,-1.743800516714823,32302.0,25059.0,1448.0,6518.0,34424.0
Peterborough,52.60852457634041,-0.2531210207852282,30591.0,21530.0,1837.0,6691.0,36158.0
Luton,51.89422092125584,-0.42561757130245365,30587.0,21084.0,4454.0,8337.0,36953.0
Southend-on-Sea,51.54775968045477,0.7094589667390112,32116.0,25732.0,1324.0,6209.0,34621.0
Thurrock,51.509090196403186,0.3679364128766175,24550.0,17395.0,1560.0,6190.0,32643.0
Medway,51.41516754006375,0.5539789642379478,43354.0,32598.0,1750.0,9469.0,48226.0
Bracknell Forest,51.40813673086056,-0.7397697802696006,13897.0,12262.0,558.0,2808.0,14639.0
West Berkshire,51.449589523587534,-1.3044961049668238,20278.0,20539.0,591.0,3279.0,21065.0
Reading,51.452992223309565,-0.9838541584127636,20110.0,15190.0,2039.0,5329.0,21834.0
Slough,51.508395532488265,-0.5862448800035094,18784.0,11142.0,3919.0,5440.0,21434.0
Windsor and Maidenhead,51.48566947580788,-0.6995487864039197,18364.0,20588.0,880.0,3292.0,18134.0
Wokingham,51.42943633682096,-0.8838311977991303,18380.0,20843.0,540.0,2958.0,16226.0
Milton Keynes,52.08384997487744,-0.7335118034725062,34538.0,23961.0,2622.0,8640.0,34850.0
Brighton and Hove,50.844594191571055,-0.13408915324833795,44569.0,29708.0,2418.0,7818.0,36775.0
