ctyua19nm,long,lat,covid19_r,imd,lt_illness,crowded
Hartlepool,-1.27018,54.67614,8.693006476289824,35.037,0.23161429130264702,0.009398031359746747
Middlesbrough,-1.21099,54.54467,14.449614195300985,40.46,0.20863797936595094,0.017166931804276
Redcar and Cleveland,-1.00608,54.56752,3.6988540950013684,29.792,0.22723540247231408,0.0077678047143696
Stockton-on-Tees,-1.30664,54.556911,7.828401440425865,25.79,0.1900109597620166,0.009348273727560984
Darlington,-1.56835,54.535339,6.631048463491341,25.657,0.19630745329847296,0.008527962288407971
Halton,-2.68853,53.33424,7.952539245781178,32.325,0.21364496683791134,0.009810174069627852
Warrington,-2.56167,53.391628,14.34024961924165,18.942,0.17305714342227585,0.008538877143528306
Blackburn with Darwen,-2.4636,53.700802,10.848266650394267,36.013,0.20232695319650956,0.026206126968074905
Blackpool,-3.02199,53.82164,5.631225143420266,45.039,0.2557350508570021,0.009368154489101558
"Kingston upon Hull, City of",-0.30382,53.769199,10.920181275009165,40.564,0.1965281623674953,0.016314966783899962
East Riding of Yorkshire,-0.66195,53.881119,8.079502302658156,15.605,0.1914093943664922,0.006131495050058728
North East Lincolnshire,-0.13911,53.52327,3.7590216519647153,31.335,0.19496792301523658,0.008578765403761459
North Lincolnshire,-0.52407,53.58643,9.555319326827753,22.096,0.19277259534417066,0.010129590855073284
York,-1.07375,53.96582,3.5344431484819565,11.727,0.15336958662162775,0.010185273841440062
Derby,-1.47189,52.914639,2.814047726249437,26.323,0.18675628738663408,0.020357677151880787
Leicester,-1.1304,52.635921,4.244495041520257,30.877,0.17322693799095923,0.048568527918781725
Rutland,-0.6263,52.667648,0.0,8.381,0.15488774117584095,0.004799360085321957
Nottingham,-1.16667,52.954189,3.925673907354096,34.891,0.18117639361423712,0.025536941751036622
"Herefordshire, County of",-2.73931,52.081539,2.7251372106585565,18.89,0.1872932302141413,0.010865818000740561
Telford and Wrekin,-2.48941,52.714169,3.0004620711589585,24.988,0.18599864379114384,0.013752101849627673
Stoke-on-Trent,-2.15888,53.017071,5.622309323395233,34.504,0.2269043564865386,0.01732744596792935
Bath and North East Somerset,-2.48654,51.356041,5.113171529860922,11.745,0.16075243159712754,0.009399442290688976
"Bristol, City of",-2.57742,51.471149,3.9697922164050494,26.363,0.16748786878202104,0.022566717921498027
North Somerset,-2.75439,51.397072,2.46833130930166,15.825,0.1912463098446926,0.006415269702018656
South Gloucestershire,-2.46922,51.54673,3.0445223334741423,11.66,0.15570448343970134,0.008517919247149845
Plymouth,-4.11297,50.404942,6.240639041437844,26.619,0.20356964553170245,0.014171096087167335
