ctyua19nm,lat,long,Human_health_and_social_work,Education,Financial_and_insurance,Information_and_communication,Real_estate
Hartlepool,54.669448749582415,-1.259361010607027,5829.0,3641.0,789.0,645.0,588.0
Middlesbrough,54.542007725519326,-1.2222687179451883,9116.0,5362.0,1358.0,1266.0,702.0
Redcar and Cleveland,54.55167807834993,-1.0207155913790993,8787.0,5545.0,1103.0,963.0,898.0
Stockton-on-Tees,54.56162092640412,-1.3322790324141427,12928.0,8721.0,2713.0,2086.0,1125.0
Darlington,54.54870520055155,-1.5526408314590956,7259.0,4211.0,1880.0,2165.0,500.0
Halton,53.345132024042265,-2.7121961820228195,6881.0,4413.0,1359.0,2237.0,672.0
Warrington,53.399108230941586,-2.5627418084651485,12627.0,8663.0,3332.0,5124.0,1215.0
Blackburn with Darwen,53.69263819102741,-2.467584777816118,8936.0,6195.0,1179.0,1721.0,755.0
Blackpool,53.81783133160939,-3.0292513574690605,9171.0,4089.0,1706.0,1266.0,634.0
"Kingston upon Hull, City of",53.76406914186737,-0.33484178111250057,14899.0,9240.0,1148.0,2007.0,1019.0
East Riding of Yorkshire,53.87461690267138,-0.4923695627602537,21525.0,16998.0,3113.0,3464.0,1781.0
North East Lincolnshire,53.54262221158171,-0.13796148830378444,9309.0,6243.0,942.0,748.0,669.0
North Lincolnshire,53.590817328588436,-0.5936701848046124,9857.0,6577.0,1418.0,975.0,741.0
York,53.95876671843384,-1.0614491496268192,13113.0,12027.0,4730.0,3170.0,1075.0
Derby,52.91254047537211,-1.468346412960369,16376.0,10795.0,2568.0,3018.0,1335.0
Leicester,52.637922922829354,-1.1284850962990913,18488.0,13919.0,4000.0,3064.0,1369.0
Rutland,52.660753256284885,-0.6546334278571395,1585.0,2386.0,387.0,518.0,216.0
Nottingham,52.96060197543472,-1.176516404725424,18098.0,13033.0,2801.0,4110.0,1786.0
"Herefordshire, County of",52.10367402016764,-2.7451131740998282,11624.0,8323.0,1565.0,1935.0,1446.0
Telford and Wrekin,52.73020794735582,-2.488780590167363,8535.0,7292.0,2091.0,3368.0,977.0
Stoke-on-Trent,53.01804733081002,-2.1645360100148,15734.0,8300.0,2890.0,2238.0,1087.0
Bath and North East Somerset,51.35597024224452,-2.4752072352803767,10928.0,10783.0,2868.0,4399.0,1270.0
"Bristol, City of",51.46683516746428,-2.6005111331381054,29324.0,22801.0,12658.0,11087.0,2691.0
North Somerset,51.38980387987998,-2.794115415793443,12883.0,8663.0,5085.0,3585.0,1562.0
South Gloucestershire,51.54192880793031,-2.4575085388205657,16784.0,11461.0,8753.0,5819.0,1632.0
Plymouth,50.3919835985987,-4.118222188220432,16819.0,11951.0,2342.0,2756.0,1604.0
Torbay,50.441772597055184,-3.5541945581092955,9874.0,5024.0,1133.0,964.0,954.0
Swindon,51.57155047704233,-1.743800516714823,9872.0,8007.0,8231.0,5357.0,1029.0
Peterborough,52.60852457634041,-0.2531210207852282,9551.0,7056.0,4432.0,3227.0,1086.0
Luton,51.89422092125584,-0.42561757130245365,9608.0,8915.0,2348.0,2933.0,1297.0
Southend-on-Sea,51.54775968045477,0.7094589667390112,10391.0,8157.0,9046.0,2590.0,1321.0
Thurrock,51.509090196403186,0.3679364128766175,7516.0,6122.0,4873.0,2189.0,999.0
Medway,51.41516754006375,0.5539789642379478,14754.0,11215.0,6336.0,3398.0,1591.0
Bracknell Forest,51.40813673086056,-0.7397697802696006,6152.0,5402.0,1770.0,6180.0,816.0
West Berkshire,51.449589523587534,-1.3044961049668238,6794.0,7889.0,2878.0,8668.0,1286.0
Reading,51.452992223309565,-0.9838541584127636,8708.0,7763.0,3290.0,8887.0,821.0
Slough,51.508395532488265,-0.5862448800035094,6909.0,4774.0,1751.0,4747.0,556.0
Windsor and Maidenhead,51.48566947580788,-0.6995487864039197,5688.0,7281.0,2482.0,7874.0,1300.0
Wokingham,51.42943633682096,-0.8838311977991303,7170.0,9351.0,3491.0,10267.0,1050.0
Milton Keynes,52.08384997487744,-0.7335118034725062,11945.0,13401.0,6704.0,8212.0,1523.0
Brighton and Hove,50.844594191571055,-0.13408915324833795,18779.0,17332.0,9367.0,8583.0,2490.0
Portsmouth,50.820697780359126,-1.0701066405356214,12147.0,9763.0,2614.0,3541.0,1145.0
Southampton,50.919917142086476,-1.399129067065755,15091.0,11639.0,4702.0,3370.0,1303.0
Isle of Wight,50.67465798077718,-1.2977048201501755,9277.0,5831.0,888.0,1090.0,927.0
County Durham,54.69538478424793,-1.8398062436763274,31923.0,23836.0,5063.0,4564.0,2699.0
Cheshire East,53.18041095506719,-2.349356733802868,22343.0,16972.0,7579.0,7359.0,2799.0
